Frame,X,Y,Visibility,L,Theta,score
256,882,78,1,3.1931306421756744,55.499359515553955,0.8597651124000549
257,881,78,1,3.0134359067305923,89.21397734206751,0.8202096223831177
258,884,75,1,2.0776015520095825,-56.652445270294,0.5924175977706909
259,882,75,1,3.0743967667222023,85.10436205508942,0.7110822200775146
260,881,74,1,4.2989102602005005,37.39207226687418,0.7722715139389038
261,881,73,1,2.6531305760145187,-78.01875551271091,0.6349001526832581
262,836,33,1,3.349766358733177,-29.478534624711347,0.843480110168457
263,815,45,1,0.5,90.0,0.4738333821296692
264,810,34,1,0.7071067690849304,44.9999999966682,0.5378415584564209
265,838,33,1,3.3444025218486786,-22.206687146422215,0.7398214936256409
266,838,33,1,4.64066818356514,-30.382169971755857,0.8094848990440369
267,0,0,0,-inf,-inf,0.18461239337921143
268,0,0,0,-inf,-inf,0.2597275972366333
269,0,0,0,-inf,-inf,0.2895534932613373
270,711,204,1,3.5307179018855095,11.12106877962189,0.6742888689041138
271,712,201,1,2.894380494952202,24.06705162524402,0.6989002823829651
272,712,198,1,3.7469212412834167,12.932184903299579,0.6346291303634644
273,725,202,1,1.0,0.0,0.5392909049987793
274,735,198,1,1.4939390122890472,84.84757676576706,0.5870291590690613
275,729,198,1,3.0165525674819946,54.10333999619271,0.7469624280929565
276,728,197,1,3.508625030517578,52.07349774055376,0.7254588007926941
277,731,196,1,2.6758276522159576,-82.42950808245496,0.7251068949699402
278,734,193,1,1.7948834896087646,-26.17618967969848,0.5344721078872681
279,794,159,1,3.3529092371463776,25.036938444990717,0.600040078163147
280,885,65,1,5.095042362809181,9.046773969075348,0.8397924900054932
281,0,0,0,-inf,-inf,0.2643239200115204
282,882,64,1,2.0216589272022247,-87.25383772143628,0.5273452997207642
283,883,65,1,4.031123094260693,7.026155353979699,0.7472643256187439
284,880,67,1,2.578408896923065,38.54629566540184,0.649857759475708
285,878,66,1,0.7071067690849304,-44.99999999667797,0.4367592930793762
286,0,0,0,-inf,-inf,0.24721980094909668
287,0,0,0,-inf,-inf,0.26539450883865356
288,0,0,0,-inf,-inf,0.36022961139678955
289,879,68,1,3.177688717842102,-31.658467512710686,0.8112834095954895
290,0,0,0,-inf,-inf,0.2676793336868286
291,0,0,0,-inf,-inf,0.27116474509239197
